Rating,Time,Year,Plays,Skips
40,250,2010,15,5
60,230,2003,21,0
40,236,2008,16,0
40,217,2008,30,0
40,123,2008,24,0
40,228,2008,18,1
60,274,2008,30,1
60,222,2008,23,1
80,238,2008,35,0
80,239,2008,18,0
60,268,2008,9,0
60,256,2008,16,2
40,132,2008,20,0
60,223,2008,18,0
60,251,2008,36,1
40,327,2008,25,1
40,86,2008,18,2
60,192,2010,34,0
40,197,2009,8,4
60,156,2012,14,0
60,263,2008,20,1
40,150,2003,5,6
40,175,1990,15,7
60,213,2003,16,2
40,243,2003,12,6
40,270,2003,13,3
40,176,2003,9,3
40,247,2003,14,3
40,112,2003,14,1
40,282,2003,18,5
40,230,2003,6,6
40,260,2003,8,3
40,272,2003,4,12
60,196,2003,18,1
40,142,2003,21,3
60,241,1997,16,2
40,405,2010,3,2
60,307,2008,19,6
40,216,1996,6,2
40,167,2008,16,1
60,184,1986,18,0
40,205,1999,5,5
40,215,2004,5,8
80,236,2004,17,6
40,232,2010,8,10
80,293,2010,37,1
40,304,2008,8,8
60,186,2006,13,3
60,216,2007,22,1
40,201,2007,16,0
80,237,2008,36,0
80,246,2008,40,1
80,204,2008,38,0
40,203,2008,11,1
80,230,2008,21,1
60,207,2010,15,0
40,184,1999,6,11
80,271,2007,12,1
60,400,1969,11,3
40,208,1970,8,4
60,148,1969,16,2
40,386,1969,8,4
40,234,1970,17,2
60,254,1969,16,2
60,235,1970,11,2
40,255,1969,7,6
60,263,1969,23,2
40,286,1970,23,7
40,309,1970,11,2
60,283,1969,21,1
40,481,1970,2,6
60,334,1969,15,3
40,254,1969,9,4
40,295,1971,7,2
60,257,1990,11,5
40,253,1990,11,2
40,263,1973,17,4
60,298,1990,20,1
60,212,1990,12,2
60,143,1970,13,4
60,279,1971,16,0
80,286,1990,19,1
60,221,1971,26,1
20,444,1970,10,5
80,480,1971,15,1
60,177,1990,21,2
60,351,1971,12,8
60,459,1990,19,2
60,623,1976,15,2
40,222,1973,10,4
40,380,1976,13,3
40,664,1975,5,5
60,512,1975,11,3
40,421,1973,13,5
40,392,1975,14,0
40,328,1973,11,1
40,335,1975,12,5
60,427,1971,16,3
40,351,1979,22,1
40,247,1976,11,10
80,243,1975,18,3
60,331,1979,7,4
40,410,1979,8,1
40,525,1975,2,3
60,230,1990,11,1
40,387,1976,8,3
40,215,1982,17,5
60,182,1982,10,3
40,246,1975,11,8
40,329,1982,3,11
40,146,2007,16,6
60,372,2007,21,2
60,202,2007,12,0
0,140,2011,1,1
0,178,2011,4,0
0,149,2011,1,0
0,150,2011,2,0
0,153,2011,5,0
0,169,2011,4,0
0,204,2011,2,0
0,151,2011,3,0
0,197,2011,2,0
0,216,2011,1,1
60,171,2009,33,0
60,207,2009,30,4
60,302,2008,29,0
40,190,2008,14,3
40,238,2005,16,1
60,215,2009,7,9
40,366,2009,9,4
20,203,1999,1,2
60,208,2004,20,0
60,224,2004,28,2
40,272,2004,15,3
60,330,2009,10,2
40,242,2009,18,3
40,239,2009,22,0
40,259,2004,11,3
80,246,2007,34,0
40,274,2007,19,3
80,264,2007,41,0
40,247,2010,12,1
40,252,2010,15,1
40,280,2010,14,0
40,259,2010,15,1
40,245,2010,22,1
40,261,2010,12,0
40,207,2010,15,2
80,215,2010,46,1
40,289,2010,18,1
40,173,2010,17,2
40,253,2010,14,0
40,219,2010,17,0
60,273,2008,23,0
40,259,2011,13,0
40,279,2003,14,6
60,333,2005,24,0
40,264,2007,14,4
40,282,2004,8,3
40,228,2011,19,0
40,446,1995,25,2
60,287,1995,20,1
60,258,1995,20,0
80,252,2009,29,0
60,252,2010,15,2
60,234,2012,7,2
60,204,2010,29,1
80,188,2010,24,1
60,193,2005,20,0
40,186,2005,14,2
60,179,2005,27,2
60,239,2011,10,0
60,184,2010,21,5
40,209,2007,3,3
40,201,2007,14,7
60,175,2009,21,0
60,174,2007,22,2
40,313,2007,18,3
40,169,2009,19,1
40,195,2003,13,3
40,341,1991,12,3
60,177,2009,22,3
60,193,2009,27,4
60,241,2009,19,2
40,278,2009,12,0
60,205,1973,23,3
60,230,1973,21,2
60,124,1973,27,4
60,392,1973,16,4
40,213,1973,7,4
60,240,1973,8,4
40,284,1973,13,5
60,426,1973,11,5
40,460,1973,16,1
40,189,2001,10,4
40,239,2001,16,1
40,384,2001,14,4
60,308,1975,12,2
40,820,1975,1,1
40,751,1975,2,5
40,451,1975,2,4
80,334,1975,12,4
60,355,1994,14,2
60,216,1994,26,4
40,182,1994,21,2
40,181,1994,13,2
40,122,1994,15,3
60,243,1994,18,1
60,203,2008,14,4
60,190,2010,10,0
60,162,2008,9,0
60,328,2007,32,0
60,261,1997,26,0
60,257,2008,14,2
60,264,2003,16,3
60,282,2006,19,1
40,334,2006,1,0
60,273,1997,13,2
60,177,2008,24,1
60,137,2008,37,1
40,204,2008,10,3
60,354,2006,18,0
40,227,1998,18,0
60,222,2011,22,1
60,243,2011,19,0
60,221,2011,13,0
40,114,2007,6,0
80,235,2007,37,1
60,216,2007,29,0
60,294,2007,34,0
80,222,2007,40,1
60,188,2007,26,2
60,235,2005,25,0
80,212,2005,37,0
60,302,2005,25,1
60,258,2005,23,0
60,244,2001,24,1
60,236,2001,20,0
80,233,2009,24,0
60,211,2009,18,1
40,160,2005,10,0
60,129,2000,26,0
40,197,2010,19,1
60,148,2010,14,2
80,238,2010,21,2
60,332,2010,26,1
60,127,2010,18,5
40,296,2010,28,3
40,276,2010,19,4
20,82,2010,2,9
40,299,2010,19,1
40,185,2010,17,7
60,224,2010,15,5
40,258,2010,15,7
60,230,2004,19,0
40,258,2009,17,4
40,226,2008,8,4
60,159,2008,19,6
40,165,2008,6,15
60,179,2008,7,2
20,167,2008,3,7
40,267,1999,21,3
20,308,2006,1,9
40,286,2006,9,8
80,189,2006,17,4
40,187,2006,14,2
40,172,2006,16,0
40,217,2006,11,4
60,364,2005,22,0
40,308,2002,8,3
40,247,2002,21,2
60,211,2001,19,2
40,249,2001,7,0
40,348,2001,20,3
60,243,1993,12,2
40,267,2004,11,5
40,221,1979,12,4
40,241,2004,4,2
40,259,2004,17,3
60,259,2004,14,1
60,395,2001,11,9
60,169,2010,18,2
60,250,2007,23,4
60,210,2007,24,0
60,201,2007,9,8
80,287,2010,31,0
80,174,2010,26,0
60,154,1964,19,1
80,149,1964,19,2
40,131,1964,19,3
60,131,1964,17,1
40,163,1964,24,0
40,139,1964,17,2
40,144,1964,16,1
40,105,1964,8,3
40,116,1964,17,1
40,128,1964,18,4
60,155,1964,16,1
40,136,1964,17,4
40,154,1964,11,1
40,165,1969,14,3
40,96,1969,19,2
80,259,1969,25,3
40,91,1969,14,5
40,25,1969,20,2
80,185,1969,20,0
40,467,1969,13,3
40,207,1969,18,3
40,66,1969,16,4
80,170,1969,16,0
40,207,1969,20,4
60,72,1969,32,0
60,118,1969,18,0
60,182,1969,18,0
40,146,1969,11,0
40,141,1969,16,2
40,242,1969,11,3
40,124,1964,20,3
40,163,1964,23,1
40,123,1964,11,4
40,146,1964,14,3
60,177,1964,17,1
40,154,1964,17,1
80,108,1964,10,1
80,150,1964,21,1
40,158,1964,16,4
40,158,1964,9,10
40,136,1964,13,1
60,151,1964,29,3
40,150,1964,25,2
40,124,1964,19,1
40,150,1965,20,1
60,125,1965,24,0
40,176,1965,16,7
80,139,1965,23,0
60,148,1965,37,0
40,116,1965,30,1
80,125,1965,48,1
40,157,1965,22,1
60,154,1965,27,1
60,189,1965,26,0
60,125,1965,27,5
60,156,1965,34,0
40,138,1965,28,2
80,129,1965,35,1
40,228,1970,15,2
60,235,1970,13,4
40,50,1970,21,1
40,152,1970,21,5
60,189,1970,13,7
40,145,1970,11,4
60,217,1970,23,0
60,243,1970,13,3
40,40,1970,10,4
40,173,1970,11,4
40,218,1970,8,4
40,216,1970,24,2
80,226,2006,18,5
80,230,1967,15,0
60,181,1967,17,4
40,235,1967,11,5
40,135,1967,6,4
60,208,1967,15,3
80,275,1967,15,1
60,170,1967,31,0
60,180,1967,16,1
40,247,1967,15,0
80,179,1967,31,1
40,148,1967,13,4
40,140,1965,16,5
40,117,1963,18,3
40,128,1964,19,1
60,139,1964,18,1
60,146,1963,14,2
60,126,1963,8,9
80,153,1965,12,1
20,145,1964,3,10
40,122,1964,16,2
60,145,1962,17,0
40,118,1964,9,7
40,141,1963,13,4
40,182,1964,36,0
20,139,1964,5,8
40,176,1964,15,0
40,123,1963,18,1
40,136,1963,15,4
40,162,1965,3,9
40,229,1969,12,3
60,169,1965,15,5
60,215,1969,13,1
40,191,1969,22,3
60,429,1968,16,5
80,137,1968,27,0
60,231,1969,12,1
40,198,1969,6,6
60,138,1966,18,2
40,181,1966,18,2
80,204,1968,23,2
40,179,1969,8,2
40,156,1968,17,4
40,135,1965,18,2
40,259,1969,3,3
40,123,1963,8,4
40,177,1963,9,8
40,146,1963,13,3
40,160,1963,11,4
40,146,1963,14,4
40,145,1963,9,7
60,117,1963,18,4
40,173,1963,15,0
60,141,1962,15,1
40,108,1963,10,7
40,124,1963,8,2
40,120,1963,14,5
40,110,1963,8,6
80,155,1963,18,0
60,120,1966,15,4
40,134,1966,11,6
60,126,1966,16,1
60,119,1966,20,1
40,129,1966,22,2
80,149,1966,22,3
40,144,1966,11,2
40,147,1966,19,2
40,180,1966,16,3
40,179,1966,11,3
60,156,1966,26,0
